"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"A",2.214,0,0.429,0,0,2.429,0,0.357,1.071,0.357,0,2.259,0,0.938,0,0,2.409,0,1.336,2.129,1.336,0
"ABOVE",0.294,0,0.471,0.824,0,3.235,1.048,1.857,2.667,0.619,1.143,0.588,0,0.943,1.237,0,1.921,1.532,1.905,2.266,1.359,1.652
"AFTER",1,0.1,0.05,0.75,0.05,1.05,1.263,1.316,2.421,1.368,1.105,1.717,0.447,0.224,1.41,0.224,1.701,1.759,1.797,2.364,2.033,1.729
"AIRPLANE",3.111,0.056,1.5,0.611,0.222,4.167,1.5,1.8,3.2,0.95,1.7,1.641,0.236,1.724,1.335,0.732,1.689,1.85,1.795,1.852,1.605,1.895
"ALL",2.125,0.812,2.062,1.312,0.812,3.25,1.571,2.048,2.667,2,1.524,2.277,1.682,2.112,2.024,1.682,1.807,2.014,2.109,2.352,2.191,2.112
"ALLIGATOR",2.375,1.188,1.875,0.5,0.5,4.812,0.632,1.316,2.316,1,0.526,1.746,1.682,2.217,1.265,1.095,0.403,1.3,1.765,2.335,1.856,1.307
"ANIMAL",3.444,1.111,3.278,0.333,2.056,4.556,1.25,3.1,3.45,1.3,1.45,1.688,1.53,1.742,1.029,1.697,0.705,1.97,2.15,1.986,1.949,1.877
"ANKLE",0.485,0.03,3.606,1.485,0.03,4.091,4.895,0.526,0.684,0,0,1.064,0.174,1.435,1.938,0.174,1.308,0.315,0.964,1.493,0,0
"ANOTHER",1.375,0.375,1.062,0.375,0.438,2.438,0.389,1.611,2.111,0.722,0.389,1.708,0.619,1.289,0.806,0.814,1.896,1.145,2.09,2.139,1.487,1.037
"ANT",0.467,0.133,2.133,0.133,0.467,4.267,0.842,1.368,2.263,0.263,0.421,1.356,0.516,2.1,0.516,1.356,1.223,1.463,1.571,2.232,1.147,1.305
"APPLE",0.778,4.833,3.278,0.278,2.556,4.056,0.053,2.421,1.579,3.789,0.158,1.114,0.383,1.776,0.461,1.79,1.589,0.229,1.924,1.953,1.653,0.501
"ARM",0.182,0.091,3.939,2.545,0.121,3.818,0.053,4.842,1.158,0,0.737,0.528,0.292,1.6,2.063,0.415,1.776,0.229,0.501,1.951,0,1.447
"AROUND",1.158,0.263,1.105,0.737,0.368,2.842,1.389,1.278,2.333,0.611,0.889,1.385,0.653,1.329,1.327,0.761,1.893,1.944,1.809,2.029,1.195,1.491
"ASLEEP",0.895,0.105,0.263,3.158,0.105,2.211,2.882,2.765,4.118,1.882,3.118,1.41,0.459,0.653,1.803,0.459,1.903,2.205,2.195,1.654,2.147,2.058
"AUNT",2.278,0,1.167,0.667,0.5,3.167,0.4,0.85,2.15,0.85,0.9,2.218,0,1.654,1.328,0.924,1.823,1.142,1.785,2.39,1.785,1.683
"AWAKE",2,0.526,0.842,3.789,1,3.526,1.684,1.842,4.263,1.526,1.684,1.886,1.577,1.675,1.584,1.915,1.806,2.001,2.141,1.327,1.775,1.916
"AWAY",1.062,0.125,0.688,1.469,0.469,2.594,1.545,1.121,2.061,0.667,1.061,1.703,0.554,1.469,1.934,1.244,2.227,1.905,1.691,2.045,1.472,1.713
"BABY",4.048,0.524,4.048,1.952,3.143,4.381,0.667,2.5,2.611,0.944,1.278,1.359,1.078,1.359,1.774,1.558,1.465,0.97,1.855,1.914,1.11,1.638
"BACK",0.406,0.062,1.969,1.344,0.156,2.781,1.031,1.188,1.531,0.625,2.969,0.979,0.246,2.024,1.638,0.574,1.93,1.616,1.768,1.9,1.362,2.221
"BAD",2.65,1.3,1.1,2.5,1.45,2.7,1.421,1.947,3.263,2.105,1.579,1.755,1.593,1.518,2.013,1.849,1.689,1.644,1.9,1.91,1.941,1.981
"BALL",0.765,0.059,3.118,0.118,0,3.824,2.19,3.905,1.905,0.524,0.667,1.251,0.243,1.616,0.332,0,1.38,2.04,1.179,1.921,1.078,1.155
"BALLOON",1.389,0.222,3.167,0.222,0.444,4.222,0.429,2.333,1.952,1.476,0.81,1.787,0.732,1.79,0.732,0.922,1.353,0.978,2.106,2.133,1.861,1.401
"BANANA",0.158,4.474,2.211,0.158,2.474,3.895,0.056,2.778,1.889,4.056,0.611,0.501,1.073,1.686,0.375,1.349,1.243,0.236,1.957,1.875,1.662,1.243
"BASEMENT",0.65,0,1.65,0.45,1.85,4.15,1.895,1.053,2.158,0.368,0.684,0.988,0,1.785,0.999,1.531,1.309,1.912,1.615,2.141,1.012,1.416
"BASKET",0.062,0,4.375,0,0.062,4.625,0.333,3.19,1.619,0.286,0.381,0.25,0,1.408,0,0.25,1.025,1.155,1.99,2.061,0.902,0.865
"BAT",1.947,0.053,2.579,0.158,0.105,4.053,0.522,2.609,1.696,0.217,0.435,1.353,0.229,2.194,0.501,0.459,1.508,1.039,2.148,2.098,0.6,0.896
"BATH",1.632,0,4.158,2,1.158,4.158,3.55,3.7,2.9,1.15,3.8,1.499,0,1.425,1.944,1.537,1.344,1.731,1.658,1.917,1.694,1.609
"BATHROOM",1.35,0,2.25,0.8,2,4.7,2.632,2.579,2.158,0.737,3,1.531,0,1.888,1.542,1.717,0.571,1.77,1.774,1.864,1.447,2.055
"BATHTUB",1.278,0,3.333,1.444,1.222,4,2.421,2.474,2.684,0.947,2.526,1.994,0,1.609,1.886,1.665,1.455,1.71,1.645,1.945,1.81,1.712
"BE",1.706,1.059,1.294,2.029,1.029,1.824,1.579,1.842,3,1.474,1.842,2.097,1.808,1.931,2.067,1.8,2.153,1.865,1.864,2.028,1.926,1.834
"BEACH",2.444,0.222,2.222,0.167,2.389,4.444,3.421,2.632,3.105,0.947,2.105,1.854,0.428,1.801,0.707,1.539,0.705,1.71,2.033,2.079,1.311,1.761
"BEAD",0.611,0.444,2.889,0.278,0.333,3.778,0.524,2.429,1.762,0.714,0.762,1.29,1.338,1.906,0.958,0.84,1.665,1.25,1.912,1.998,1.419,1.446
"BEAN",0.222,3.778,1.889,0.167,1.278,3.111,0.118,2.529,2.294,3.706,0.412,0.428,1.592,1.605,0.383,1.602,1.491,0.485,1.94,1.993,1.961,1.228
"BEAR",3.263,0.368,1.526,0.368,0.632,4.316,1.143,1.143,2.286,1.048,0.952,1.79,1.165,1.867,1.212,1.3,1.204,1.905,1.852,2.171,1.83,1.687
"BECAUSE",1.421,0.053,0.053,0.632,0.053,0.684,0.05,0.3,1.6,1.1,0.05,1.953,0.229,0.229,1.422,0.229,1.293,0.224,1.129,2.113,1.744,0.224
"BED",0.895,0.263,4.421,1.474,0.842,4.105,3.048,3,3.714,0.952,3.381,1.049,0.806,0.838,1.775,1.463,1.449,1.962,1.949,1.821,1.564,1.962
"BEDROOM",1,0.294,2.412,1.059,0.941,4.529,2,1.85,2.85,0.75,1.85,1.541,0.985,1.77,1.56,1.345,0.943,1.835,1.843,2.007,1.41,2.033
"BEE",2.778,0,0.611,0.278,0,4.5,0.818,2,2.5,0.545,0.818,2.016,0,1.145,0.958,0,0.707,1.532,2.047,2.064,1.335,1.532
